State,Number,Letter,Value,Quantity,Box
DC,500,AO,$0.35 ,1,4
DC,500,AQ,$2.75 ,1,4
DC,997,B,$3.00 ,1,4
FL,60,C,$0.35 ,1,4
FL,105,C,$0.35 ,1,4
FL,105,E,$0.35 ,1,4
FL,105,F,$1.00 ,1,4
FL,130,B,$0.35 ,1,4
FL,130,C,$0.35 ,1,4
FL,130,D,$0.35 ,1,4
FL,260,A,$0.35 ,1,4
FL,300,L,$0.50 ,1,4
FL,380,A,$0.50 ,1,4
FL,380,L,$0.35 ,1,4
FL,380,N,$0.35 ,1,4
FL,380,T,$0.35 ,1,4
FL,380,X,$2.00 ,1,4
FL,405,A,$0.50 ,1,4
FL,460,A,$0.35 ,1,4
FL,460,B,$0.35 ,1,4
FL,530,C,$0.35 ,1,4
FL,530,D,$0.35 ,1,4
FL,530,F,$0.35 ,1,4
FL,530,I,$1.25 ,1,4
FL,622,A,$1.50 ,1,4
FL,671,B,$2.00 ,1,4
FL,671,D,$2.00 ,1,4
FL,671,E,$2.00 ,1,4
FL,690,B,$0.35 ,1,4
FL,710,B,$0.35 ,1,4
FL,710,C,$0.35 ,1,4
FL,710,E,$0.35 ,1,4
FL,840,D,$0.35 ,1,4
FL,840,E,$0.50 ,1,4
FL,840,H,$0.35 ,1,4
FL,880,C,$0.35 ,1,4
FL,880,K,$1.00 ,1,4
FL,880,M,$1.00 ,1,4
FL,885,A,$1.00 ,1,4
FL,885,B,$0.50 ,1,4
FL,885,C,$0.50 ,1,4
FL,900,B,$0.75 ,1,4
FL,900,C,$0.75 ,1,4
FL,900,D,$0.75 ,1,4
FL,900,E,$0.75 ,1,4
FL,900,F,$0.75 ,1,4
FL,900,G,$0.75 ,1,4
FL,900,H,$0.75 ,1,4
FL,910,E,$0.35 ,1,4
FL,910,H,$0.35 ,1,4
FL,910,I,$0.35 ,1,4
FL,930,A,$0.35 ,1,4
FL,930,B,$0.35 ,1,4
FL,1000,K,$5.00 ,1,4
GA,60,J,$0.35 ,1,4
GA,60,L,$0.35 ,1,4
GA,60,R,$0.35 ,1,4
GA,60,S,$0.35 ,1,4
GA,60,AD,$1.75 ,1,4
GA,60,AH,$1.75 ,2,4
GA,60,AI,$1.75 ,1,4
GA,60,AK,$1.75 ,1,4
GA,60,AL,$1.75 ,1,4
GA,60,AM,$1.75 ,1,4
GA,60,AO,$1.75 ,1,4
GA,70,B,$0.35 ,1,4
GA,70,D,$0.35 ,2,4
GA,70,E,$0.35 ,1,4
GA,200,A,$0.35 ,1,4
GA,240,E,$0.35 ,1,4
GA,450,A,$0.35 ,1,4
GA,450,B,$0.35 ,1,4
GA,580,D,$0.35 ,1,4
GA,580,E,$0.35 ,1,4
GA,580,F,$0.35 ,1,4
GA,780,A,$0.35 ,1,5
GA,780,B,$0.35 ,1,5
GA,780,C,$0.35 ,1,5
GA,780,D,$0.35 ,1,5
GA,780,E,$0.35 ,1,5
GA,780,F,$0.35 ,1,5
GA,780,G,$0.35 ,1,5
GA,780,H,$0.35 ,1,5
GA,780,I,$0.35 ,1,5
GA,780,K,$0.35 ,1,5
GA,780,Nb,$1.50 ,1,5
HI,240,C,$0.35 ,1,5
HI,240,D,$0.35 ,1,5
HI,240,F,$1.00 ,1,5
ID,100,B,$3.50 ,1,5
ID,100,G,$0.50 ,1,5
ID,100,H,$1.00 ,1,5
ID,100,Q,$0.50 ,1,5
ID,100,R,$1.00 ,1,5
ID,380,K,$0.60 ,1,5
ID,380,M,$1.00 ,1,5
ID,440,M,$0.50 ,1,5
IL,10,D,$0.35 ,1,5
IL,10,E,$0.35 ,1,5
IL,25,B,$0.50 ,1,5
IL,70,J,$0.35 ,1,5
IL,70,L,$0.40 ,1,5
IL,95,D,$0.35 ,1,5
IL,130,F,$0.35 ,1,5
IL,135,A,$0.50 ,1,5
IL,135,B,$0.50 ,1,5
IL,135,G,$0.35 ,1,5
IL,135,H,$0.35 ,1,5
IL,135,K,$0.35 ,1,5
IL,150,T,$0.35 ,1,5
IL,150,Z,$1.50 ,1,5
IL,150,AB,$1.50 ,1,5
IL,150,AC,$0.75 ,1,5
IL,150,AI,$1.50 ,1,5
IL,190,C,$2.50 ,1,5
IL,190,F,$0.35 ,1,5
IL,190,G,$0.35 ,1,5
IL,195,C,$0.50 ,1,5
IL,205,A,$0.35 ,1,5
IL,205,B,$0.50 ,1,5
IL,205,C,$0.35 ,1,5
IL,250,B,$0.50 ,1,5
IL,250,D,$0.35 ,1,5
IL,250,E,$0.35 ,1,5
IL,250,F,$0.35 ,1,5
IL,250,G,$0.35 ,1,5
IL,250,H,$0.35 ,1,5
IL,250,I,$0.35 ,1,5
IL,250,K,$3.00 ,1,5
IL,270,C,$0.35 ,1,5
IL,285,A,$0.35 ,1,5
IL,285,E,$0.35 ,1,5
IL,285,F,$0.35 ,1,5
IL,285,G,$0.35 ,1,5
IL,455,I,$0.50 ,1,5
IL,475,D,$0.35 ,1,5
IL,495,E,$0.75 ,2,5
IL,495,F,$0.35 ,1,5
IL,495,G,$0.35 ,1,5
IL,530,A,$3.00 ,1,5
IL,530,E,$0.35 ,1,5
IL,530,F,$0.50 ,1,5
IL,535,B,$0.75 ,1,5
IL,640,A,$0.35 ,1,5
IL,690,B,$0.35 ,1,5
IL,690,C,$0.35 ,1,5
IL,690,D,$0.35 ,1,5
IL,690,E,$0.35 ,1,5
IL,690,F,$0.35 ,1,5
IL,720,B,$0.75 ,1,5
IL,720,C,$0.50 ,1,5
IL,720,I,$0.35 ,1,5
IL,755,B,$0.50 ,1,5
IL,755,D,$0.75 ,1,5
